,LoanAmount,Loan_Amount_Term,Credit_History,LoanAmountLog,TotalIncome,Ratio,Male,Married Yes,1,2,3+,Self-Employed Yes,Not Graduate,Semiurban,Urban,LoanStatus Yes
0,130.0,360.0,1.0,4.867534450455582,5849.0,0.022226021542143957,1,0,0,0,0,0,0,0,1,1
1,128.0,360.0,1.0,4.852030263919617,6091.0,0.0210146117222131,1,1,1,0,0,0,0,0,0,0
2,66.0,360.0,1.0,4.189654742026425,3000.0,0.022,1,1,0,0,0,1,0,0,1,1
3,120.0,360.0,1.0,4.787491742782046,4941.0,0.024286581663630843,1,1,0,0,0,0,1,0,1,1
4,141.0,360.0,1.0,4.948759890378168,6000.0,0.0235,1,0,0,0,0,0,0,0,1,1
5,267.0,360.0,1.0,5.58724865840025,9613.0,0.027774888172266723,1,1,0,1,0,1,0,0,1,1
6,95.0,360.0,1.0,4.553876891600541,3849.0,0.024681735515718367,1,1,0,0,0,0,1,0,1,1
7,158.0,360.0,0.0,5.062595033026967,5540.0,0.02851985559566787,1,1,0,0,1,0,0,1,0,0
8,168.0,360.0,1.0,5.123963979403259,5532.0,0.03036876355748373,1,1,0,1,0,0,0,0,1,1
9,349.0,360.0,1.0,5.855071922202427,23809.0,0.014658322483094628,1,1,1,0,0,0,0,1,0,0
10,70.0,360.0,1.0,4.248495242049359,3900.0,0.017948717948717947,1,1,0,1,0,0,0,0,1,1
11,109.0,360.0,1.0,4.6913478822291435,4340.0,0.02511520737327189,1,1,0,1,0,0,0,0,1,1
12,200.0,360.0,1.0,5.298317366548036,11179.0,0.01789068789694964,1,1,0,1,0,0,0,0,1,1
13,114.0,360.0,1.0,4.736198448394496,4693.0,0.024291497975708502,1,0,0,0,0,0,0,0,0,0
14,17.0,120.0,1.0,2.833213344056216,2385.0,0.007127882599580713,1,1,0,1,0,0,0,0,1,1
15,125.0,360.0,1.0,4.8283137373023015,4950.0,0.025252525252525252,1,0,0,0,0,0,0,0,1,1
16,100.0,240.0,1.0,4.605170185988092,3596.0,0.027808676307007785,1,0,1,0,0,0,1,0,1,1
17,76.0,360.0,0.0,4.330733340286331,3510.0,0.021652421652421653,0,0,0,0,0,0,0,0,1,0
18,133.0,360.0,1.0,4.890349128221754,4887.0,0.027215060364231634,1,1,0,0,0,0,1,0,0,0
19,115.0,360.0,1.0,4.74493212836325,6100.0,0.018852459016393444,1,1,0,0,0,0,0,0,1,1
20,104.0,360.0,0.0,4.6443908991413725,7660.0,0.013577023498694517,1,1,0,0,0,0,1,0,1,0
21,315.0,360.0,1.0,5.752572638825633,11580.0,0.027202072538860103,1,1,1,0,0,0,0,0,1,1
22,116.0,360.0,0.0,4.7535901911063645,4511.0,0.025714919086677012,1,1,0,0,0,0,1,1,0,0
